MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Wheelman (2017),6.4,68,"164,731"
Naledi: A Baby Elephant's Tale (2016),7.5,,
Voyeur (2017),6.2,11,"62,923"
The Meyerowitz Stories (2017),7 ,26,"84,234"
Pottersville (2017),5.2,9,"55,954"
El Camino Christmas (2017),5.6,14,"47,167"
Our Souls at Night (2017),6.9,26,"83,729"
Cuba and the Cameraman (2017),8.2,27,"69,488"
Christmas Inheritance (2017),5.6,48,"62,519"
A Plastic Ocean (2016),7.9,49,"177,053"
24 Hours to Live (2017),5.7,841,"280,174"
A Bad Moms Christmas (2017),5.5,115,"403,697"
Day of the Dead: Bloodline (2018),3.4,,
Catching the Sun (2015),7 ,25,"70,195"
American Satan (2017),5.5,19,"53,328"
1922 (2017),6.3,73,"258,661"
Blade Runner 2049 (2017),8.1,,
The LEGO Ninjago Movie (2017),6 ,86,"503,586"
Geostorm (2017),5.4,274,"1,121,403"
Bright (2017),6.4,240,"818,403"
The 7th Voyage of Sinbad (1958),7.1,64,"69,758"
Sweet Virginia (2017),6.1,41,"152,207"
E.T. the Extra-Terrestrial (1982),7.9,,
Phineas and Ferb the Movie: Across the 2nd Dimension (2011),7.5,,
Borg McEnroe (2017),7 ,28,"157,560"
Rise of the Footsoldier 3 (2017),5.7,18,"93,829"
LBJ (2016),6.2,17,"112,615"
Australia Day (2017),5.5,17,"78,982"
Almost Friends (2016),6.1,40,"157,459"
Maze (2017),5.9,51,"207,151"
Boone: The Bounty Hunter (2017),6.8,,
Boo 2! A Madea Halloween (2017),3.5,,
Tobor the Great (1954),5.2,7,"24,139"
Superman (1978),7.3,143,"147,578"
The Killing of a Sacred Deer (2017),7.1,83,"178,770"
The Man from Earth: Holocene (2017),5.3,,
Last Flag Flying (2017),6.9,54,"183,618"
Jigsaw (2017),5.9,341,"569,943"
Highway to Hell (1991),6 ,10,"43,228"
"The Games of the V Olympiad Stockholm, 1912 (2017)",6.4,,
The Pride and the Passion (1957),5.8,1,"23,836"
The Burning Bed (1984),7.2,12,"34,542"
Hampstead (2017),5.9,15,"82,618"
Last Days in the Desert (2015),5.6,30,"114,332"
China Moon (1991),6.2,8,"53,429"
Chasing Great (2016),7.1,11,"76,154"
Visions of Eight (1973),7 ,1,"16,766"
Young Mr. Lincoln (1939),7.6,,
Thank You for Your Service (2017),6.5,46,"211,090"
Cleo from 5 to 7 (1962),8 ,9,"33,330"
Professor Marston and the Wonder Women (2017),7.1,73,"314,615"
November Criminals (2017),5.2,63,"195,031"
Gang War in Milan (1973),6.6,4,"13,433"
Bullet Head (2017),5.2,35,"144,834"
Goodbye Christopher Robin (2017),7.1,54,"181,598"
The Snowman (2017),5.1,197,"418,544"
England Is Mine (2017),6 ,17,"81,002"
Kenny (2017),7.3,21,"108,676"
Loving Vincent (2017),7.9,77,"266,135"
Happy Death Day (2017),6.5,206,"564,994"
Young Doctors in Love (1982),5.3,8,"44,339"
He Walked by Night (1948),7.2,2,"42,117"
The Whales of August (1987),7.5,4,"37,572"
Davy Crockett and the River Pirates (1956),7 ,7,"35,855"
Don Quixote (2015),5.8,15,"90,496"
Beyond Skyline (2017),5.4,93,"335,825"
Darkness Rising (2017),3.3,18,"71,508"
My Little Pony: The Movie (2017),6.2,,
Return to Montauk (2017),5.9,24,"99,788"
Roots of Evil (1979),3.9,2,"31,916"
Z (1969),8.2,23,"88,375"
American Gothic (1987),5.8,9,"34,643"
Mrs. Parker and the Vicious Circle (1994),6.4,,
The Foreigner (2017),7.1,437,"1,779,923"
Marshall (2017),7.2,78,"264,317"
The Black Abbot (1963),5.8,4,"31,714"
'I Know Where I'm Going!' (1945),7.6,,
Brawl in Cell Block 99 (2017),7.2,111,"422,887"
Rebel in the Rye (2017),6.6,37,"130,896"
Chasing Trane: The John Coltrane Documentary (2016),7.3,,
Mark Felt: The Man Who Brought Down the White House (2017),6.4,,
Bitch (2017),5 ,18,"88,779"
Battle of the Sexes (2017),6.8,73,"351,076"
Mayhem (2017),6.3,68,"242,198"
Blood Money (2017),4.5,23,"140,996"
The Beast Within (1982),5.5,5,"34,542"
Neon Maniacs (1986),4.8,8,"32,724"
Heartbeats (2017),5.3,28,"110,191"
Brad's Status (2017),6.5,,
It (2017),7.5,586,"1,906,678"
Killing Gunther (2017),4.7,51,"240,683"
12 Deaths of Christmas (2017),3.1,22,"85,850"
A Question of Faith (2017),4.8,16,"74,235"
Breathe (2017),7.1,77,"256,237"
Baby: Secret of the Lost Legend (1985),5 ,,
Woodshock (2017),4.4,14,"50,298"
Go for It (1983),7.2,15,"68,276"
City of Ghosts (2017),7.5,57,"155,237"
Hour of the Gun (1967),6.7,10,"57,267"
One Dark Night (1982),5.8,11,"43,430"
M.F.A. (2017),5.7,,
Peelers (2016),4.2,37,"130,189"
Flatliners (2017),5.2,122,"404,505"
The Mountain Between Us (2017),6.4,208,"924,554"
Gridlock'd (1997),7 ,,
Soldiers of the Damned (2015),3.7,22,"83,729"
The Kentuckian (1955),6.3,4,"40,400"
Demon Legacy (2014),3.4,9,"46,258"
Unnatural (2015),3.9,21,"69,084"
California Typewriter (2016),7.2,17,"91,304"
Stronger (2017),7 ,141,"321,180"
Leatherface (2017),5 ,60,"238,865"
Victoria & Abdul (2017),6.8,,
Holiday Joy (2016),5.6,20,"119,786"
I'll Be Seeing You (1944),7.3,,
Desert Hearts (1985),7 ,6,"37,774"
Mother! (2017),6.7,,
Enter Nowhere (2011),6.6,37,"118,473"
Election (1999),7.3,77,"119,400"
Doc Hollywood (1991),6.1,20,"61,812"
The Crazies (1973),6.1,5,"31,411"
The Holly Kane Experiment (2017),5.8,16,"110,494"
Singularity (2017),4.3,51,"280,578"
Wind (1992),6.5,12,"25,654"
Dunkirk (2017),8 ,502,"2,048,381"
Sunrise (1927),8.2,4,"25,250"
Mythica: The Godslayer (2016),5.2,,
American Made (2017),7.2,319,"1,475,105"
Nico the Unicorn (1998),6 ,9,"46,965"
Stone Cold Dead (1979),5.3,9,"38,279"
How the Grinch Stole Christmas! (1966),8.4,,
Wind Walkers (2015),3.7,5,"50,803"
Phantom Halo (2014),5.1,19,"78,578"
Ferrari: Race to Immortality (2017),6.7,,
